key,total_ms,count,avg_ms,min_ms,max_ms
L13/lightning/sigmoid_gate/decode,0.321,8,0.040120,0.038848,0.044032
L13/lightning/sigmoid_gate/prefill,142.989,28,5.106741,0.043584,6.069760
L14/lightning-attn/attn/decode,3.683,8,0.460356,0.439616,0.503104
L14/lightning-attn/attn/prefill,854.336,28,30.512017,0.515296,35.907871
L14/lightning-attn/input_norm/decode,0.033,8,0.004092,0.003840,0.004352
L14/lightning-attn/input_norm/prefill,8.726,28,0.311658,0.003456,0.362752
L14/lightning-attn/mlp/decode,0.792,8,0.098980,0.095392,0.105824
L14/lightning-attn/mlp/prefill,1622.402,28,57.942943,0.099552,69.054588
L14/lightning-attn/post_attn_norm/decode,0.255,8,0.031848,0.030944,0.033792
L14/lightning-attn/post_attn_norm/prefill,29.866,28,1.066646,0.009120,1.233824
L14/lightning/chunk_simple_gla/prefill,57.021,26,2.193102,0.139616,2.464800
L14/lightning/fla_kernel/decode,1.547,8,0.193336,0.183648,0.207296
L14/lightning/fla_kernel/prefill,59.934,28,2.140494,0.227168,2.565760
L14/lightning/fla_state_load/decode,0.235,8,0.029320,0.027840,0.030944
L14/lightning/fla_state_load/prefill,1.345,28,0.048027,0.021984,0.065536
L14/lightning/fla_state_save/decode,0.241,8,0.030184,0.028672,0.034016
L14/lightning/fla_state_save/prefill,0.518,28,0.018502,0.013632,0.036608
L14/lightning/fused_recurrent_gla/decode,0.773,8,0.096620,0.090336,0.106912
L14/lightning/fused_recurrent_gla/prefill,0.206,2,0.103056,0.101280,0.104832
L14/lightning/o_norm/decode,0.185,8,0.023124,0.021792,0.027776
L14/lightning/o_norm/prefill,8.318,28,0.297086,0.025056,0.348544
L14/lightning/o_proj/decode,0.255,8,0.031932,0.028736,0.037888
L14/lightning/o_proj/prefill,121.710,28,4.346773,0.032800,5.157120
L14/lightning/qk_norm/decode,0.272,8,0.034012,0.024544,0.039808
L14/lightning/qk_norm/prefill,69.705,28,2.489480,0.023616,2.903200
L14/lightning/qkv_proj/decode,0.300,8,0.037536,0.036032,0.040544
L14/lightning/qkv_proj/prefill,361.977,28,12.927759,0.039168,15.308608
L14/lightning/rope/decode,0.329,8,0.041180,0.039904,0.043776
L14/lightning/rope/prefill,89.073,28,3.181167,0.022176,3.686016
L14/lightning/sigmoid_gate/decode,0.317,8,0.039608,0.037472,0.042752
L14/lightning/sigmoid_gate/prefill,143.309,28,5.118165,0.043872,6.063616
L15/lightning-attn/attn/decode,3.701,8,0.462596,0.441152,0.491584
L15/lightning-attn/attn/prefill,854.816,28,30.529151,0.516064,35.959103
L15/lightning-attn/input_norm/decode,0.032,8,0.004028,0.003840,0.004096
L15/lightning-attn/input_norm/prefill,8.762,28,0.312915,0.003840,0.364480
L15/lightning-attn/mlp/decode,0.785,8,0.098168,0.096448,0.101280
L15/lightning-attn/mlp/prefill,1623.941,28,57.997896,0.099584,69.079552
L15/lightning-attn/post_attn_norm/decode,0.257,8,0.032068,0.030720,0.035136
L15/lightning-attn/post_attn_norm/prefill,29.802,28,1.064368,0.010432,1.233120
L15/lightning/chunk_simple_gla/prefill,56.991,26,2.191947,0.140608,2.437440
L15/lightning/fla_kernel/decode,1.550,8,0.193760,0.189600,0.202656
L15/lightning/fla_kernel/prefill,60.024,28,2.143720,0.226432,2.535808
L15/lightning/fla_state_load/decode,0.237,8,0.029644,0.028448,0.032064
L15/lightning/fla_state_load/prefill,1.388,28,0.049557,0.021376,0.087904
L15/lightning/fla_state_save/decode,0.241,8,0.030132,0.029216,0.032480
L15/lightning/fla_state_save/prefill,0.524,28,0.018728,0.013376,0.044832
L15/lightning/fused_recurrent_gla/decode,0.774,8,0.096740,0.091328,0.102176
L15/lightning/fused_recurrent_gla/prefill,0.249,2,0.124368,0.100704,0.148032
L15/lightning/o_norm/decode,0.182,8,0.022752,0.021952,0.023808
L15/lightning/o_norm/prefill,8.330,28,0.297498,0.023328,0.348928
L15/lightning/o_proj/decode,0.240,8,0.029964,0.028256,0.033152
L15/lightning/o_proj/prefill,121.891,28,4.353234,0.031872,5.171840
L15/lightning/qk_norm/decode,0.280,8,0.034952,0.025568,0.038944
L15/lightning/qk_norm/prefill,69.806,28,2.493081,0.025504,2.905344
L15/lightning/qkv_proj/decode,0.298,8,0.037304,0.035680,0.039584
L15/lightning/qkv_proj/prefill,362.344,28,12.940841,0.038816,15.350752
L15/lightning/rope/decode,0.330,8,0.041196,0.039936,0.042496
L15/lightning/rope/prefill,89.067,28,3.180967,0.020096,3.683008
L15/lightning/sigmoid_gate/decode,0.322,8,0.040300,0.038208,0.047360
L15/lightning/sigmoid_gate/prefill,143.024,28,5.108005,0.043264,6.053152
L16/minicpm4/attn/decode,3.846,8,0.480776,0.465504,0.508000
L16/minicpm4/attn/prefill,2869.012,28,102.464715,0.658464,481.814789
L16/minicpm4/attn_kernel/decode,2.826,8,0.353252,0.313600,0.406368
L16/minicpm4/attn_kernel/prefill,2475.890,28,88.424650,0.472928,469.683777
L16/minicpm4/input_norm/decode,0.032,8,0.004024,0.003808,0.004352
L16/minicpm4/input_norm/prefill,8.714,28,0.311227,0.004064,0.362496
